"","AR","AR.W","AR.NW","AR.N","AR.E","SP","SP.W","SP.E","DarwinMSLP.Aug","TahitiMSLP.Aug","DMI.Aug","DMIEAST.Aug","DMIWEST.Aug","QBO.Aug","SOI.Aug","Nino1.2.Aug","Nino3.4.Aug","Nino3.Aug","Nino4.Aug","EMI.Aug","DarwinMSLP.Sep","TahitiMSLP.Sep","DMI.Sep","DMIEAST.Sep","DMIWEST.Sep","QBO.Sep","SOI.Sep","Nino1.2.Sep","Nino3.4.Sep","Nino3.Sep","Nino4.Sep","EMI.Sep","DarwinMSLP.Oct","TahitiMSLP.Oct","DMI.Oct","DMIEAST.Oct","DMIWEST.Oct","QBO.Oct","SOI.Oct","Nino1.2.Oct","Nino3.4.Oct","Nino3.Oct","Nino4.Oct","EMI.Oct"
"1",16,10,5,3,5,7,6,2,1012,1014.3,-0.238,-0.217,-0.456,-21.38,1,19.16,25.6,23.38,27.89,0.252984,1010.1,1014.6,-0.494,0.044,-0.45,-21.67,1.9,19.29,25.65,23.63,27.65,0.0106362,1008.7,1013.3,-0.478,-0.109,-0.587,-22.12,1.7,19.88,25.6,23.71,27.59,-0.31446
"2",15,5,4,3,10,16,12,11,1011.7,1015.7,-0.435,-0.177,-0.612,8.34,2.5,19.77,25.75,23.79,27.54,-0.226231,1010.8,1015.8,-0.64,-0.08,-0.72,8.95,2.3,19.51,25.72,23.86,27.3,-0.541249,1009.5,1015.3,-0.469,-0.218,-0.688,8.48,2.8,19.72,25.47,23.65,27.44,-0.129837
"3",10,8,7,4,1,9,2,8,1013.8,1014.1,0.623,-0.47,0.153,-19.28,-0.8,23.38,27.95,26.74,28.75,-0.390628,1013.7,1013.6,0.469,-0.27,0.199,-20.4,-2.2,21.96,27.95,26.33,28.87,-0.153426,1012.6,1013.7,0.487,-0.206,0.28,-21.17,-1.5,22.4,28.26,26.72,29.16,0.210387
"4",18,10,8,3,7,11,7,7,1011.5,1015.1,-0.494,0.261,-0.233,5.86,2.1,19.39,25.22,23.5,27.44,-0.420248,1011.4,1016,-0.667,0.435,-0.232,5.51,2,19.42,25.06,23.38,27.27,-0.606041,1009.6,1014.1,-0.289,0.059,-0.23,5.2,1.3,19.93,24.73,23.29,27.11,-0.737188
"5",16,11,7,5,2,5,3,5,1012.1,1014.8,-0.385,-0.068,-0.453,-23.14,1.3,20.54,26.33,24.72,27.97,-0.443935,1011,1015.4,-0.555,0.036,-0.519,-23.52,1.8,20.09,26.08,24.27,27.71,-0.473352,1009.7,1014,-0.686,0.022,-0.663,-23.12,1.5,19.81,25.78,23.95,27.53,-0.348471
"6",17,8,6,4,8,10,8,5,1011.3,1016.2,-0.232,-0.12,-0.352,9.06,3.3,20.06,25.33,24.04,27.03,-1.02823,1010.5,1016.6,-0.751,0.249,-0.502,10.25,3.4,19.16,25.05,23.5,26.71,-1.17679,1008.9,1014.7,-0.896,-0.066,-0.962,10.65,2.8,19.04,24.89,23.37,26.55,-1.10208
"7",11,5,4,3,4,12,5,9,1014.1,1013.9,0.219,-0.632,-0.413,-4.89,-1.3,22.26,26.98,25.87,28.17,-0.656768,1013,1013.2,-0.102,-0.423,-0.525,-6.19,-1.9,21.55,27.02,25.72,28.26,-0.157356,1010,1013.4,-0.072,-0.441,-0.513,-8.23,0.7,21.52,27.46,25.89,28.73,-0.0761959
"8",8,5,4,2,3,10,3,8,1013.6,1013.4,-0.148,-0.226,-0.374,-11.24,-1.3,20.1,26.85,24.73,28.71,0.59531,1013,1013.8,-0.153,-0.225,-0.378,-5.09,-1.3,19.61,27.12,24.87,28.95,0.752278,1012.3,1013.1,0.404,-0.482,-0.077,-1.81,-1.7,20.54,27.35,25.25,29.04,0.744354
"9",11,5,1,5,4,8,4,6,1012,1013.9,-0.112,-0.279,-0.391,5.84,0.7,19.63,26.07,24.1,28.2,0.0611171,1011.6,1014.1,-0.155,-0.346,-0.5,5.91,0.1,19.84,26.01,24.18,28.28,-0.113508,1010.8,1012.7,-0.343,-0.176,-0.519,6.22,-0.6,20.06,26.25,24.57,28.2,0.00522384
"10",13,9,6,3,4,10,4,8,1013.3,1014.2,-0.114,-0.437,-0.551,-22.24,-0.3,20.94,26.75,25.25,28.34,-0.211768,1011.7,1014.3,-0.174,-0.216,-0.39,-22.7,0.2,21.15,26.99,25.48,28.47,-0.429795,1011,1013.5,-0.154,-0.191,-0.345,-23.32,-0.2,21.46,26.83,25.42,28.58,-0.110391
"11",13,10,8,2,3,13,3,12,1013.4,1015.3,-0.71,0.361,-0.349,9.61,0.6,20.52,26.48,24.78,28.5,-0.0604835,1012.7,1014.2,-0.639,0.343,-0.295,12.67,-0.8,20.43,26.44,24.72,28.49,0.00559359,1010.7,1013.3,-0.498,0.31,-0.188,13.1,0,20.52,26.46,24.56,28.74,0.277437
"12",12,7,6,3,4,7,5,5,1012.3,1014.9,-0.516,0.055,-0.461,-8.24,1.2,19.88,26.33,24.38,28.08,-0.237855,1011.2,1014.8,-0.651,0.159,-0.492,-8.59,0.5,19.93,26.53,24.67,28.36,-0.112538,1011,1013.1,-0.447,0.123,-0.324,-9.53,-0.6,20.44,26.42,24.8,28.38,-0.0888238
"13",7,5,4,2,2,16,3,14,1014.7,1012.7,0.369,-0.508,-0.139,-1.58,-2.9,21.81,27.58,26.06,28.87,0.155228,1014.3,1013.1,0.548,-0.546,0.002,4.21,-2.9,22.03,28.21,26.79,29.09,-0.0566269,1012.5,1012.1,0.783,-0.614,0.169,8.27,-2.8,22.83,28.71,27.28,29.44,0.167875
"14",19,10,6,4,7,12,8,5,1014.2,1015.9,0.457,-0.027,0.43,-6.53,0.2,23.93,26.59,25.77,28.39,-1.29388,1012.1,1016.1,0.037,0.094,0.131,-7.75,1.4,22.1,26.2,25.03,27.98,-1.17911,1010.5,1014.1,-0.128,0.04,-0.088,-10.12,0.7,22,25.56,24.37,27.87,-1.04681
"15",16,9,9,4,4,11,6,8,1012.1,1014.2,-0.385,-0.109,-0.494,-27.9,0.7,20.45,26.61,24.71,28.17,-0.304558,1011.7,1014.4,-0.502,0.059,-0.443,-25.44,0.2,20.66,26.38,24.56,28.22,-0.195503,1011.3,1013.4,-0.494,0,-0.495,-21.59,-0.5,20.51,26.04,24.31,28.02,-0.383964
"16",15,10,7,1,5,10,6,6,1012.4,1015.4,-0.346,-0.121,-0.467,11.08,1.6,19.78,26.3,24.24,28.21,0.255747,1011.5,1013.9,-0.132,-0.192,-0.324,11.72,0,19.74,26.02,24.04,28.28,0.216266,1010.7,1012.7,-0.339,-0.045,-0.383,11.84,-0.6,20.1,26.23,24.18,28.36,0.120423
"17",8,4,4,5,2,12,5,10,1012,1012.5,-0.288,0.002,-0.286,-9.6,-0.6,20.91,27.17,25.29,28.85,0.278219,1012.2,1013.7,-0.036,-0.107,-0.143,-10.21,-0.8,20.91,27.24,25.2,28.98,0.533906,1010.9,1014.8,0.111,-0.162,-0.051,-9.6,1.1,21.27,27.53,25.51,28.99,0.342359
"18",5,3,1,0,2,6,3,4,1014.3,1013.8,0.409,0.028,0.436,-0.6,-1.5,21.82,28.42,26.57,29.38,0.190509,1013.5,1014,0.499,-0.041,0.458,5.88,-1.7,21.83,28.36,26.56,29.54,0.21726,1011.2,1013.2,0.414,-0.038,0.376,9.35,-0.6,22.47,27.96,26.14,29.58,0.233307
"19",12,8,4,0,4,13,5,11,1012.5,1016.5,-0.177,0.311,0.134,-2.58,2.5,19.55,25.66,23.64,28.02,-0.420646,1010.6,1016.3,-0.288,0.298,0.01,-2.29,3,19.44,25.72,23.81,27.84,-0.524495,1009.1,1014.4,-0.365,0.317,-0.048,-1.53,2.3,19.81,24.82,23.43,27.12,-1.03635
"20",13,8,4,3,4,7,4,4,1013.3,1014,-0.209,0.045,-0.164,-16.98,-0.5,20.71,26.33,24.72,28.02,-0.489049,1011.7,1015,-0.119,0.098,-0.02,-18.83,0.8,20.07,26.42,24.6,28.26,-0.21584,1009.9,1014,-0.253,0.219,-0.034,-21.3,1.3,20.54,26.32,24.58,28.31,-0.232268
"21",10,6,4,2,3,4,3,2,1013.5,1014.4,-0.279,0.267,-0.013,12.63,-0.3,20.57,27.07,25.23,28.92,0.38201,1013.3,1014.4,-0.077,0,-0.077,13.21,-1.2,20.24,26.94,25.02,28.98,0.443225,1010.9,1014.1,-0.186,0.171,-0.015,12.39,0.4,20.31,26.93,24.84,29.15,0.668877
"22",10,4,2,2,5,13,5,12,1014,1014.5,0.17,-0.327,-0.157,-14.69,-0.7,21.37,27.53,25.63,29.26,0.549941,1013.3,1012.9,0.205,-0.203,0.002,-13.96,-2.5,21.19,27.14,25.26,29.09,0.479619,1011.1,1011.9,0.129,-0.144,-0.015,-12.21,-1.7,21.67,27.58,25.59,29.47,0.756026
"23",8,3,2,1,5,12,5,10,1012.8,1014.7,-0.656,0.445,-0.211,-4.75,0.6,20.87,26.91,25.03,28.93,0.286087,1011.2,1013.7,-0.727,0.455,-0.272,1.3,0.1,20.76,26.65,24.83,28.86,0.36044,1011.2,1011.3,-0.467,0.175,-0.293,3.94,-2.3,21.02,26.42,24.64,28.76,0.215232
"24",12,9,7,1,2,5,4,5,1015.3,1014.6,-0.193,0.071,-0.122,-1.2,-1.6,21.57,26.99,25.36,28.92,0.292506,1013.4,1014.5,-0.064,-0.054,-0.119,-1.14,-1.2,21.11,27.07,25.22,29.06,0.415886,1012,1012.7,0.004,-0.207,-0.203,-4.04,-1.8,21.57,26.77,25.11,28.78,0.383952
